question_id,prediction,target,answer_type,small_answer_type_target,small_answer_type_prediction,answer_type_prediction
2,yes,no,yes/no,yes/no,yes/no,yes/no
8,yes,yes,yes/no,yes/no,yes/no,yes/no
16,no,no,yes/no,yes/no,yes/no,yes/no
28,no,no,yes/no,yes/no,yes/no,yes/no
39,yes,yes,yes/no,yes/no,yes/no,yes/no
43,yes,no,yes/no,yes/no,yes/no,yes/no
60,no,yes,yes/no,yes/no,yes/no,yes/no
67,no,no,yes/no,yes/no,yes/no,yes/no
69,no,no,yes/no,yes/no,yes/no,yes/no
72,yes,yes,yes/no,yes/no,yes/no,yes/no
80,no,yes,yes/no,yes/no,yes/no,yes/no
84,yes,no,yes/no,yes/no,yes/no,yes/no
98,no,no,yes/no,yes/no,yes/no,yes/no
103,no,no,yes/no,yes/no,yes/no,yes/no
127,yes,yes,yes/no,yes/no,yes/no,yes/no
156,no,no,yes/no,yes/no,yes/no,yes/no
184,yes,yes,yes/no,yes/no,yes/no,yes/no
192,yes,yes,yes/no,yes/no,yes/no,yes/no
203,standing,both,other,other,action,other
208,yes,yes,yes/no,yes/no,yes/no,yes/no
216,standing,sitting,other,action,action,other
226,yes,yes,yes/no,yes/no,yes/no,yes/no
239,large,large,other,other,other,other
245,yes,yes,yes/no,yes/no,yes/no,yes/no
276,yes,yes,yes/no,yes/no,yes/no,yes/no
280,tall,tall,other,other,other,other
302,parked,parked,other,action,action,other
318,no,no,yes/no,yes/no,yes/no,yes/no
344,yes,yes,yes/no,yes/no,yes/no,yes/no
351,yes,yes,yes/no,yes/no,yes/no,yes/no
381,standing,standing,other,action,action,other
389,walking,walking,other,action,action,other
395,yes,yes,yes/no,yes/no,yes/no,yes/no
399,yes,bat,other,object,yes/no,yes/no
408,sidewalk,sidewalk,other,location,location,other
439,woman,front,other,other,human,other
442,standing,sitting,other,action,action,other
451,standing,standing,other,action,action,other
458,sitting,sitting,other,action,action,other
469,standing,sitting,other,action,action,other
480,yes,yes,yes/no,yes/no,yes/no,yes/no
501,yes,yes,yes/no,yes/no,yes/no,yes/no
508,open,open,other,action,action,other
529,sitting,sitting,other,action,action,other
537,open,open,other,action,action,other
551,no,no,yes/no,yes/no,yes/no,yes/no
556,no,yes,yes/no,yes/no,yes/no,yes/no
565,standing,standing,other,action,action,other
569,no,yes,yes/no,yes/no,yes/no,yes/no
579,sitting,standing,other,action,action,other
589,yes,no,yes/no,yes/no,yes/no,yes/no
592,yes,no,yes/no,yes/no,yes/no,yes/no
600,yes,yes,yes/no,yes/no,yes/no,yes/no
608,on,on,other,other,other,other
615,yes,yes,yes/no,yes/no,yes/no,yes/no
621,yes,yes,yes/no,yes/no,yes/no,yes/no
626,yes,yes,yes/no,yes/no,yes/no,yes/no
628,standing,sitting,other,action,action,other
633,yes,yes,yes/no,yes/no,yes/no,yes/no
639,yes,yes,yes/no,yes/no,yes/no,yes/no
652,standing,standing,other,action,action,other
666,yes,no,yes/no,yes/no,yes/no,yes/no
688,yes,no,yes/no,yes/no,yes/no,yes/no
702,standing,standing,other,action,action,other
710,standing,standing,other,action,action,other
718,sitting,standing,other,action,action,other
720,sitting,sitting,other,action,action,other
726,standing,sitting,other,action,action,other
729,standing,standing,other,action,action,other
738,sitting,standing,other,action,action,other
746,sitting,sitting,other,action,action,other
758,yes,yes,yes/no,yes/no,yes/no,yes/no
787,no,no,yes/no,yes/no,yes/no,yes/no
792,no,no,yes/no,yes/no,yes/no,yes/no
796,no,no,yes/no,yes/no,yes/no,yes/no
814,yes,yes,yes/no,yes/no,yes/no,yes/no
