question_id,prediction,target,answer_type,small_answer_type_target,small_answer_type_prediction,answer_type_prediction
86531,brown,brown,other,color,color,other
102392,couch,chair,other,object,object,other
1399,yes,yes,yes/no,yes/no,yes/no,yes/no
36291,yes,yes,yes/no,yes/no,yes/no,yes/no
47183,purple,purple,other,color,color,other
39693,standing,standing,other,action,action,other
88744,sitting,sitting,other,action,action,other
565,standing,standing,other,action,action,other
40562,plant,door,other,object,object,other
89636,standing,standing,other,action,action,other
47172,pink,colorful,other,color,color,other
97731,wood,brick,other,color,color,other
94138,standing,standing,other,action,action,other
15494,2,3,number,number,number,number
38305,standing,sitting,other,action,action,other
85677,black,brown,other,color,color,other
11764,1,1,number,number,number,number
94894,standing,sitting,other,action,action,other
70661,table,door,other,object,object,other
13034,2,3,number,number,number,number
71961,wall,wall,other,object,object,other
94509,standing,standing,other,action,action,other
704,standing,standing,other,action,action,other
2265,yes,yes,yes/no,yes/no,yes/no,yes/no
68956,curtain,wall,other,object,object,other
100006,suit,suit,other,object,object,other
49127,brown,brown,other,color,color,other
1837,standing,standing,other,action,action,other
82004,book,board,other,object,object,other
12906,2,2,number,number,number,number
87923,standing,standing,other,action,action,other
12135,1,1,number,number,number,number
91250,cup,laptop,other,object,object,other
83760,pink,pink,other,color,color,other
95590,book,toy,other,object,object,other
42586,blue,blue,other,color,color,other
73893,tree,fire,other,object,object,other
53956,white,blue,other,color,color,other
8764,2,3,number,number,number,number
26967,yes,yes,yes/no,yes/no,yes/no,yes/no
94926,standing,sitting,other,action,action,other
87001,purple,brown,other,color,color,other
17561,2,2,number,number,number,number
89035,standing,standing,other,action,action,other
59131,red,red,other,color,color,other
73556,flower,book,other,object,object,other
6688,yes,yes,yes/no,yes/no,yes/no,yes/no
30633,yes,yes,yes/no,yes/no,yes/no,yes/no
52041,gray,brown,other,color,color,other
40640,wall,wall,other,object,object,other
83193,red,red,other,color,color,other
12570,2,group,other,other,number,number
55531,blue,red,other,color,color,other
10802,2,2,number,number,number,number
26863,yes,yes,yes/no,yes/no,yes/no,yes/no
7592,many,many,number,number,number,number
93773,standing,standing,other,action,action,other
7332,1,2,number,number,number,number
37907,sitting,sitting,other,action,action,other
36126,yes,yes,yes/no,yes/no,yes/no,yes/no
84928,black,white,other,color,color,other
28576,yes,yes,yes/no,yes/no,yes/no,yes/no
80157,picture,picture,other,object,object,other
42753,blue,blue,other,color,color,other
32110,yes,yes,yes/no,yes/no,yes/no,yes/no
53027,blue,brown,other,color,color,other
48828,red,red,other,color,color,other
97822,livingroom,house,other,location,location,other
86364,black,red,other,color,color,other
861,yes,yes,yes/no,yes/no,yes/no,yes/no
159702,no,no,yes/no,yes/no,yes/no,yes/no
17109,2,2,number,number,number,number
88912,standing,standing,other,action,action,other
101566,ground,ground,other,other,other,other
88192,stick,book,other,object,object,other
65610,pink,green,other,color,color,other
52232,blue,purple,other,color,color,other
80861,glasses,laptop,other,object,object,other
57111,red,red,other,color,color,other
19975,4,2,number,number,number,number
94089,standing,eating,other,action,action,other
82741,red,purple,other,color,color,other
31944,yes,yes,yes/no,yes/no,yes/no,yes/no
74490,cloud,cloud,other,object,object,other
56077,blue,white,other,color,color,other
71238,curtain,flag,other,object,object,other
1218,standing,sitting,other,action,action,other
80779,box,lamp,other,object,object,other
71774,wall,sky,other,object,object,other
72478,sky,sky,other,object,object,other
34009,yes,yes,yes/no,yes/no,yes/no,yes/no
2604,yes,yes,yes/no,yes/no,yes/no,yes/no
63560,green,purple,other,color,color,other
86497,purple,pink,other,color,color,other
31223,yes,yes,yes/no,yes/no,yes/no,yes/no
13772,2,2,number,number,number,number
42227,blue,blue,other,color,color,other
16855,1,1,number,number,number,number
10417,2,2,number,number,number,number
30266,yes,yes,yes/no,yes/no,yes/no,yes/no
49726,red,pink,other,color,color,other
54301,blue,blue,other,color,color,other
10599,2,1,number,number,number,number
87296,standing,standing,other,action,action,other
82215,red,red,other,color,color,other
